code,krName,enName,ipoDate,exchange
335810,프리시젼바이오,Precision Biosensor Inc.,2020/12/22,KOSDAQ
53160,프리엠스,FreeMs Corporation,2001/10/30,KOSDAQ
75130,플랜티넷,"PLANTYNET Co., Ltd.",2005/06/10,KOSDAQ
222670,플럼라인생명과학,Plumbline Life Sciences,2015/07/28,KONEX
237820,플레이디,"PlayD Co., Ltd.",2020/03/12,KOSDAQ
23770,플레이위드,PLAYWITH Inc.,1994/11/07,KOSDAQ
300080,플리토,FLITTO Inc.,2019/07/17,KOSDAQ
150440,피노텍,Finotek,2014/12/05,KONEX
32580,피델릭스,"Fidelix Co., Ltd.",1997/04/22,KOSDAQ
950210,피비파마,PRESTIGE BIOPHARMA LIMITED KDR,2021/02/05,KOSPI
51380,피씨디렉트,"PC Direct, Inc.",2002/02/15,KOSDAQ
241820,피씨엘,PCL. Inc,2017/02/23,KOSDAQ
178920,PI첨단소재,"PI Advanced Materials Co., Ltd.",2014/12/08,KOSDAQ
237750,피앤씨테크,"PNC Technologies Co., Ltd.",2016/07/04,KOSDAQ
131390,피앤이솔루션,"PNE SOLUTION CO., LTD",2011/09/27,KOSDAQ
24850,피에스엠씨,"PSMC Co., Ltd",2001/01/18,KOSDAQ
319660,피에스케이,PSK INC.,2019/05/10,KOSDAQ
31980,피에스케이홀딩스,PSK HOLDINGS INC.,1997/01/07,KOSDAQ
2230,피에스텍,"PS Tec. Co., Ltd.",1991/01/04,KOSDAQ
242350,피엔아이컴퍼니,PNIcompany,2016/12/22,KONEX
239890,피엔에이치테크,P&H TECH,2016/08/16,KONEX
347740,피엔케이피부임상연구센타,"P&K Skin Research Center Co.,Ltd.",2020/09/09,KOSDAQ
137400,피엔티,"People & Technology, Inc.",2012/07/06,KOSDAQ
24940,PN풍년,"PNPOONGNYUN CO.,LTD",1995/01/04,KOSDAQ
128660,피제이메탈,"PJ METAL CO., LTD.",2010/12/13,KOSDAQ
6140,피제이전자,"PJ ELECTRONICS CO., LTD.",1993/12/07,KOSDAQ
304840,피플바이오,"PeopleBio, Inc.",2020/10/19,KOSDAQ
62970,피피아이,PPI. INC,2019/12/26,KOSDAQ
